tconst,title,year,studio,genres,runtime_minutes,imdb_rating,total_gross,genre_list
tt0435761,toy story 3,2010,BV,"Adventure,Animation,Comedy",103.0,8.3,1067000000,"['Adventure,Animation,Comedy']"
tt1375666,inception,2010,WB,"Action,Adventure,Sci-Fi",148.0,8.8,828300000,"['Action,Adventure,Sci-Fi']"
tt0892791,shrek forever after,2010,P/DW,"Adventure,Animation,Comedy",93.0,6.3,752600000,"['Adventure,Animation,Comedy']"
tt1325004,the twilight saga: eclipse,2010,Sum.,"Adventure,Drama,Fantasy",124.0,5.0,698500000,"['Adventure,Drama,Fantasy']"
tt1228705,iron man 2,2010,Par.,"Action,Adventure,Sci-Fi",124.0,7.0,623900000,"['Action,Adventure,Sci-Fi']"
tt0398286,tangled,2010,BV,"Adventure,Animation,Comedy",100.0,7.8,591800000,"['Adventure,Animation,Comedy']"
tt1323594,despicable me,2010,Uni.,"Animation,Comedy,Family",95.0,7.7,543100000,"['Animation,Comedy,Family']"
tt0892769,how to train your dragon,2010,P/DW,"Action,Adventure,Animation",98.0,8.1,494900000,"['Action,Adventure,Animation']"
tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,Fox,"Adventure,Family,Fantasy",113.0,6.3,415700000,"['Adventure,Family,Fantasy']"
tt1504320,the king's speech,2010,Wein.,"Biography,Drama,History",118.0,8.0,410900000,"['Biography,Drama,History']"
tt1155076,the karate kid,2010,Sony,"Action,Drama,Family",140.0,6.2,359100000,"['Action,Drama,Family']"
tt0473075,prince of persia: the sands of time,2010,BV,"Action,Adventure,Fantasy",116.0,6.6,336400000,"['Action,Adventure,Fantasy']"
tt0947798,black swan,2010,FoxS,"Drama,Thriller",108.0,8.0,329400000,"['Drama,Thriller']"
tt1001526,megamind,2010,P/DW,"Action,Animation,Comedy",95.0,7.3,321900000,"['Action,Animation,Comedy']"
tt0955308,robin hood,2010,Uni.,"Action,Adventure,Drama",140.0,6.6,321700000,"['Action,Adventure,Drama']"
tt0938283,the last airbender,2010,Par.,"Action,Adventure,Family",103.0,4.1,319700000,"['Action,Adventure,Family']"
tt0970866,little fockers,2010,Uni.,"Comedy,Romance",98.0,5.5,310600000,"['Comedy,Romance']"
tt1220634,resident evil: afterlife,2010,SGem,"Action,Adventure,Horror",96.0,5.9,300200000,"['Action,Adventure,Horror']"
tt1130884,shutter island,2010,Par.,"Mystery,Thriller",138.0,8.1,294800000,"['Mystery,Thriller']"
tt0944835,salt,2010,Sony,"Action,Mystery,Thriller",100.0,6.4,293500000,"['Action,Mystery,Thriller']"
tt1261945,sex and the city 2,2010,WB (NL),"Comedy,Drama,Romance",146.0,4.4,288300000,"['Comedy,Drama,Romance']"
tt1243957,the tourist,2010,Sony,"Action,Adventure,Thriller",103.0,6.0,278300000,"['Action,Adventure,Thriller']"
tt1320253,the expendables,2010,LGF,"Action,Adventure,Thriller",103.0,6.5,274500000,"['Action,Adventure,Thriller']"
tt1375670,grown ups,2010,Sony,Comedy,102.0,6.0,271400000,['Comedy']
tt1403865,true grit,2010,Par.,"Adventure,Drama,Western",110.0,7.6,252200000,"['Adventure,Drama,Western']"
tt1320261,gulliver's travels,2010,Fox,"Adventure,Comedy,Family",85.0,4.9,237400000,"['Adventure,Comedy,Family']"
tt0814255,percy jackson & the olympians: the lightning thief,2010,Fox,"Adventure,Family,Fantasy",118.0,5.9,226500000,"['Adventure,Family,Fantasy']"
tt1285016,the social network,2010,Sony,"Biography,Drama",120.0,7.7,225000000,"['Biography,Drama']"
tt0817230,valentine's day,2010,WB (NL),"Comedy,Romance",125.0,5.7,216500000,"['Comedy,Romance']"
tt0963966,the sorcerer's apprentice,2010,BV,"Action,Adventure,Family",109.0,6.1,215300000,"['Action,Adventure,Family']"
tt1231583,due date,2010,WB,"Adventure,Comedy",95.0,6.5,211700000,"['Adventure,Comedy']"
tt0879870,eat pray love,2010,Sony,"Drama,Romance",133.0,5.8,204600000,"['Drama,Romance']"
tt1302067,yogi bear,2010,WB,"Adventure,Animation,Comedy",80.0,4.6,201500000,"['Adventure,Animation,Comedy']"
tt1245526,red,2010,Sum.,"Action,Comedy,Crime",111.0,7.1,199000000,"['Action,Comedy,Crime']"
tt1536044,paranormal activity 2,2010,Par.,Horror,91.0,5.7,177600000,['Horror']
tt0429493,the a-team,2010,Fox,"Action,Adventure,Thriller",117.0,6.8,177200000,"['Action,Adventure,Thriller']"
